director_id,director_name
1,Anthony Russo
3,Joss Whedon
6,Jeremy M. Inman
8,Gore Verbinski
9,Jon Garcia
10,Blayne Weaver
11,Andrew L. Stone
12,Katherine Dieckmann
13,Makoto Shinkai
14,Mattias Wold
15,Matt Reeves
16,Tim Burton
17,Christopher Nolan
19,Joel Schumacher
21,Sam Raimi
22,Joaquim Dos Santos
23,Jon Watts
24,Bob Persichetti
29,Peter Farrelly
30,Craig Gillespie
31,Bobby Farrelly
32,Troy Miller
33,Bill Zebub
35,Jerry Zucker
36,Mark Steven Johnson
37,Rupert Sanders
38,Mamoru Oshii
39,Steve Beck
40,Terry Zwigoff
41,Shawn Levy
42,Tim Miller
43,David Leitch
46,Huxley Berg
47,Sean Miller
