movie_id,tmdb_id,imdb_id,title,aka,plot,viewerrating,releaseyear,watchmode_id,reviewcount
1,1,tt4154796,Avengers: Endgame,Avengers: Endgame (2019) ,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos&apos; actions and restore balance to the universe.",8.4,2019,1,9576
2,2,tt21357150,Avengers: Doomsday,Avengers: Doomsday (2026) ,Plot under wraps.,,2026,2,0
3,3,tt0848228,The Avengers,The Avengers (2012) ,Earth&apos;s mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8,2012,3,2144
4,4,tt4154756,Avengers: Infinity War,Avengers: Infinity War (2018) ,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,2018,4,4642
5,5,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron (2015) ,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it&apos;s up to Earth&apos;s mightiest heroes to stop the villainous Ultron from enacting his terrible plan.",7.3,2015,5,1460
6,6,tt0054518,The Avengers,The Avengers (1961) ,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominantly female partners.,8.3,1961,6,74
7,7,tt4296026,Avengers Grimm,Avengers Grimm (2015) ,"When Rumpelstiltskin destroys the Magic Mirror and escapes to the modern world, the four princesses Cinderella, Sleeping Beauty, Snow White, and Rapunzel are sucked through the portal too. The four women now must save Earth.",2.7,2015,7,43
8,8,tt21361444,Avengers: Secret Wars,Avengers: Secret Wars (2027) ,Plot Under Wraps,,2027,8,0
9,9,tt0384680,The Weather Man,The Weather Man (2005) ,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.",6.6,2005,9,344
10,10,tt12313750,Weather Report,Weather Report (2005) ,David Lynch gives daily weather reports in Los Angeles.,9.2,2005,10,3
11,11,tt6953974,Sex Weather,Sex Weather (2018) ,"After a night of drinks and an unexpected hookup, Sydney and Darrell spend the day in bed discussing life, love, and sex. Is it the start of something real or just a sexy afternoon?",4.7,2018,11,10
12,12,tt15140592,Forecasting Love and Weather,Forecasting Love and Weather (2022) ,An office melodrama that depicts work life and love life of the people working in Korea Meteorological Administration which is hotter than tropical nights and more indispensable than local heavy rains.,7.1,2022,12,49
13,13,tt11535086,When the Weather is Fine,When the Weather is Fine (2020) ,"A story about forgiveness, healing and love taking place around a small book store in the countryside.",7.7,2020,13,54
14,14,tt1085515,Weather Girl,Weather Girl (2009) ,"A Seattle weather girl freaks out on-air over her cheating boyfriend, the morning show anchor, and moves in with her little brother.",5.8,2009,14,30
15,15,tt0036391,Stormy Weather,Stormy Weather (1943) ,The relationship between an aspiring dancer and a popular songstress provides a retrospective of the great African-American entertainers of the early 1900s.,7.3,1943,15,53
16,16,tt5205210,Strange Weather,Strange Weather (2016) ,"in an effort to deal with the grief over the death of her son, a Georgia mother travels the back roads of the deep south to settle a score. A story of grief and forgiveness, of looking inward to find a way to move forward.",6,2016,16,21
17,17,tt9426210,Weathering with You,Weathering with You (2019) ,"Set during a period of exceptionally rainy weather, high-school boy Hodaka Morishima runs away from his troubled rural home to Tokyo and befriends an orphan girl who can manipulate the weather.",7.5,2019,17,299
18,18,tt21059522,Weathering with Me,Weathering with Me (2022) ,How does it feel to forget your own life? &quot;Weathering With Me&quot; depicts how dementia can erase the traces of what once were the most important moments of life.,,2022,18,0
19,19,tt1877830,The Batman,The Batman (2022) ,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city&apos;s hidden corruption and question his family&apos;s involvement.",7.8,2022,19,8209
20,20,tt0096895,Batman,Batman (1989) ,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",7.5,1989,20,1126
21,21,tt0372784,Batman Begins,Batman Begins (2005) ,"After witnessing his parents&apos; death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",8.2,2005,21,3228
22,22,tt0059968,Batman,Batman (1966) ,"Follows the adventures of wealthy entrepreneur Bruce Wayne, also known as the Caped Crusade Batman and his young ward Dick Grayson also known as Batman&apos;s sidekick Robin the boy wonder as they battle evildoers in Gotham City.",7.5,1966,22,116
23,23,tt0103776,Batman Returns,Batman Returns (1992) ,"While Batman deals with a deformed man calling himself the Penguin wreaking havoc across Gotham with the help of a cruel businessman, a female employee of the latter becomes the Catwoman with her own vendetta.",7.1,1992,23,836
24,24,tt0103359,Batman: The Animated Series,Batman: The Animated Series (1992) ,The Dark Knight battles crime in Gotham City.,9,1992,24,219
25,25,tt0112462,Batman Forever,Batman Forever (1995) ,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4,1995,25,759
26,26,tt0118688,Batman & Robin,Batman & Robin (1997) ,Batman and Robin try to keep their relationship together even as they must stop Mr. Freeze and Poison Ivy from freezing Gotham City.,3.8,1997,26,1338
27,27,tt0145487,Spider-Man,Spider-Man (2002) ,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",7.4,2002,27,2448
28,28,tt9362722,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse (2023) ,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...",8.6,2023,28,1648
29,29,tt10872600,Spider-Man: No Way Home,Spider-Man: No Way Home (2021) ,"With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.",8.2,2021,29,6168
30,30,tt4633694,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (2018) ,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,8.4,2018,30,2270
31,31,tt2250912,Spider-Man: Homecoming,Spider-Man: Homecoming (2017) ,Peter Parker tries to stop Adrian &apos;The Vulture&apos; Toomes from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,7.4,2017,31,1496
32,32,tt0413300,Spider-Man 3,Spider-Man 3 (2007) ,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.3,2007,32,2312
33,33,tt16360004,Spider-Man: Beyond the Spider-Verse,Spider-Man: Beyond the Spider-Verse (undefined) ,"After leaving off from Spider-Man: Across the Spider-Verse, the story continues.",,,33,0
34,34,tt0316654,Spider-Man 2,Spider-Man 2 (2004) ,Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,7.5,2004,34,1716
35,35,tt0109686,Dumb and Dumber,Dumb and Dumber (1994) ,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it.",7.3,1994,35,554
36,36,tt13957560,Dumb Money,Dumb Money (2023) ,David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video-game store) into the world&apos;s hottest company.,6.9,2023,36,206
37,37,tt2096672,Dumb and Dumber To,Dumb and Dumber To (2014) ,"20 years since their first adventure, Lloyd and Harry go on a road trip to find Harry&apos;s newly discovered daughter, who was given up for adoption.",5.6,2014,37,357
38,38,tt0329028,Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumberer: When Harry Met Lloyd (2003) ,Set back in the 80s when Harry met Lloyd in high school where they cross paths with a mean principal and a bunch of other outcasts much like themselves.,3.4,2003,38,290
39,39,tt14024862,Dumb & Dahmer,Dumb & Dahmer (2021) ,"Jeffrey Dahmer, a serial killer, battles his murderous urges. A victim escapes but is returned by inept police, reflecting the absurdity surrounding law enforcement&apos;s handling of the case.",5.1,2021,39,0
40,40,tt3861390,Dumbo,Dumbo (2019) ,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",6.3,2019,40,792
41,41,tt0111946,Dumb and Dumber,Dumb and Dumber (1995) ,"The continuing nutty adventures of Lloyd and Harry and their pet beaver, as they drive around the country in their Dogmobile.",5.5,1995,41,4
42,42,tt6575296,Dumb,Dumb (2016) ,"A frustrated actress with a strong character, Shiri is 30 but seems much younger as everyone seems to be constantly reminding her in both her personal and professional lives.",7.9,2016,42,4
43,43,tt0099653,Ghost,Ghost (1990) ,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",7.1,1990,43,386
44,44,tt0460644,Ghost Whisperer,Ghost Whisperer (2005) ,"Melinda Gordon, a newly married woman, possesses the gift of communicating with the dead. With her best friend Andrea&apos;s assistance, she helps the earthbound spirits to find peace and cross over.",6.5,2005,44,179
45,45,tt11379026,Ghosts,Ghosts (2021) ,"A young couple, Sam and Jay, inherit a haunted mansion and, unaware of their invisible housemates, plan to turn it into a B&amp;B. Their lives become much more complicated after a fall causes Sam to see the ghosts. Based on the UK ser...",7.9,2021,45,461
46,46,tt0259324,Ghost Rider,Ghost Rider (2007) ,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father&apos;s life, he is transformed into the Ghost Rider, the Devil&apos;s own bounty hunter, and is sent to hunt down sinners.",5.3,2007,46,811
47,47,tt1219827,Ghost in the Shell,Ghost in the Shell (2017) ,"In the near future, Major Mira Killian is the first of her kind: A human saved from a terrible crash, who is cyber-enhanced to be a perfect soldier devoted to stopping the world&apos;s most dangerous criminals.",6.3,2017,47,1055
48,48,tt0113568,Ghost in the Shell,Ghost in the Shell (1995) ,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,7.9,1995,48,388
49,49,tt0288477,Ghost Ship,Ghost Ship (2002) ,"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board.",5.6,2002,49,582
50,50,tt0162346,Ghost World,Ghost World (2001) ,"Two eccentric best friends graduate high school and respond to a man&apos;s romance-seeking newspaper ad as a gag, only to find their lives becoming increasingly complicated.",7.3,2001,50,548
51,51,tt6263850,Deadpool & Wolverine,Deadpool & Wolverine (2024) ,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction.",7.7,2024,51,2007
52,52,tt1431045,Deadpool,Deadpool (2016) ,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",8,2016,52,1711
53,53,tt5463162,Deadpool 2,Deadpool 2 (2018) ,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",7.6,2018,53,1464
54,54,tt2622240,Deadpool,Deadpool (2013) ,Deadpool is hired and smitten by the enigmatically psychotic Typhoid Mary. But who is his target?,5.1,2013,54,17
55,55,tt31050020,Once Upon a Deadpool,Once Upon a Deadpool (2018) ,"A kidnapped Fred Savage is forced to endure Deadpool&apos;s PG-13 rendition of Deadpool 2 as a Princess Bride-esque story that&apos;s full of magic, wonder and zero F&apos;s.",7.2,2018,55,4
56,56,tt6612630,Deadpool: No Good Deed,Deadpool: No Good Deed (2017) ,"Deadpool sees an opportunity to save the day, but it doesn&apos;t go entirely as planned.",8,2017,56,10
57,57,tt13414858,Deadpool Movie in Lego,Deadpool Movie in Lego (2021) ,"A shot-for-shot remake of the 2016 movie, Deadpool, created entirely out of Lego.",8.4,2021,57,2
58,58,tt2269724,Deadpool,Deadpool (2013) ,"With the help of Cable, Rogue, Wolverine and many other heroes, Deadpool must stop Mister Sinister, while trying to make his video game really awesome and going over budget countless times.",7.9,2013,58,15
